cycle_ts,latest_ts,source,interval_min,symbols,once,new_candle,note,raw_entries,kept_after_invalidation,dropped_invalidation,kept_after_live_guard,dropped_live_guard,kept_after_window,after_context,after_regime,after_emit_last_candles,written_entries,written_closed,written_dropped
2026-02-23 11:37:01,2026-02-23 11:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:08:38,2026-02-23 12:00:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:21:55,2026-02-23 12:15:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:22:51,2026-02-23 12:15:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:23:24,2026-02-23 12:15:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:24:45,2026-02-23 12:15:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:25:00,2026-02-23 12:15:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:25:34,2026-02-23 12:15:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:26:06,2026-02-23 12:15:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:30:56,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:02,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:07,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:11,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:17,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:21,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:26,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:32,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:36,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:42,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:46,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:51,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:31:57,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:02,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:06,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:11,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:16,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:21,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:26,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:31,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:36,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:41,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:46,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:51,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:32:56,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:01,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:05,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:10,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:15,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:20,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:25,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:30,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:35,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:39,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:44,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:49,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:54,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:33:59,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:34:04,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-23 12:34:09,2026-02-23 12:30:00+00:00,bybit,15,XRPUSDT,True,True,,3,1,2,,,,1,1,,1,,
2026-02-24 20:23:58,2026-02-24 20:15:00+00:00,bybit,15,SOLUSDT,True,True,,1,1,0,,,,1,1,,1,,
2026-02-24 21:39:40,2026-02-24 21:30:00+00:00,bybit,15,SOLUSDT,True,True,,1,1,0,,,,1,1,,1,,
2026-02-24 21:46:28,2026-02-24 21:45:00+00:00,bybit,15,SOLUSDT,True,True,,1,1,0,,,,1,1,,1,,
